หมายเลขบ่อน้ำบาดาล,ปีงบประมาณ,หน่วยงานเจ้าของบ่อ,หน่วยงานที่รับผิดชอบ,สถานะที่เจาะ,หมู่ที่,ชื่อหมู่บ้าน,ชื่อตำบล,ชื่ออำเภอ,ชื่อจังหวัด,ประเภทบ่อน้ำบาดาล,สถานะบ่อน้ำบาดาล,สภาพน้ำบาดาล,เครื่องสูบ,วันที่เริ่มเจาะ,วันที่สิ้นสุดการเจาะ,ความลึกเจาะ,ความลึกพัฒนา,ปริมาณน้ำ,ระยะน้ำลด,ระดับน้ำปกติ,ขนาดบ่อน้ำ,แรงม้า,ลงท่อดูด,วันที่ติดตั้งระบบปะปา,UTM_DATUM,ZoneNumber,ZoneDesignators,utme,utmn,LATITUDE,LONGITUDE,สถานะข้อมูล
49080W053,2546,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,นางเนาวนัตน ทุ่นคุ้มทอง,1,ดอนไก่ดี,ดอนไก่ดี,กระทุ่มแบน,สมุทรสาคร,อุปโภค-บริโภค,ใช้การได้,,,,,,,,,,,,,,WGS84,,,635606,1508204,,,อนุมัติ
4908W050,2546,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,นายสมพล ทุนคุ้มทอง,5,คลองแสนสุข,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,อุปโภค-บริโภค,ใช้การได้,,,,,,,,,,,,,,WGS84,,,639720,1509486,13.65086481,100.2917897,อนุมัติ
5202C001,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนไทยรัฐวิทยา 2,03,ช้าง,ช้างใหญ่,บางไทร,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),15/12/2552 0:00:00,23/12/2552 0:00:00,228.00,228.00,4.80,2.40,19.27,150,1.00,27.00,,WGS84,47,P,664100,1565300,14.15408539,100.5204346,อนุมัติ
5202C002,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนวัดโสภณเจติการาม,7,คู่มักเม่า,คู้สลอด,ลาดบัวหลวง,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,24/12/2552 0:00:00,30/12/2552 0:00:00,212.00,212.00,12.00,15.00,18.00,150,0.00,0.00,,WGS84,47,P,648200,1569500,14.1929379,100.3733765,อนุมัติ
5208A002,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงเรียนวัดสระพัง,6,สระพัง,ดอนข่อย,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),26/11/2552 0:00:00,2/12/2552 0:00:00,120.00,117.00,12.00,2.90,30.00,,2.00,,,WGS84,47,P,611528,1550711,14.02792955,100.0436825,อนุมัติ
5300A003,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านนายวงษ์,,,ดอนข่อย,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,17/1/2553 0:00:00,23/1/2553 0:00:00,106.00,105.00,20.00,,32.00,,1.00,,,WGS84,47,P,611330,1550512,14.02299355,100.0309745,อนุมัติ
5302A026,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนวัดพรานนก,2,พรานนก,โพสาวหาญ,อุทัย,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),3/12/2553 0:00:00,9/12/2553 0:00:00,182.00,182.00,22.50,9.91,32.24,,2.00,57.00,,WGS84,47,P,692002,1587840,14.35601294,100.7804706,อนุมัติ
5302A027,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,"โรงเรียนท่าเรือ""นิตยานุกุล""",,,ท่าเรือ,ท่าเรือ,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),10/12/2553 0:00:00,16/12/2553 0:00:00,90.00,84.00,10.90,9.41,40.99,,1.50,60.00,,WGS84,47,P,685659,1611399,14.56936282,100.7233111,อนุมัติ
5302A028,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,"โรงเรียนผักไห่""สุทธาประมุข""",07,อ้อ,อมฤต,ผักไห่,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),17/12/2553 0:00:00,21/12/2553 0:00:00,190.00,182.00,12.00,0.21,12.33,,1.50,30.00,,WGS84,47,P,648002,1600005,14.46868735,100.3732191,อนุมัติ
5302B029,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนวัดดอนพุดซา,10,ดอนพุดซา,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),15/11/2553 0:00:00,21/11/2553 0:00:00,180.00,172.00,9.23,16.33,40.42,,1.00,60.00,,WGS84,47,P,687901,1587074,14.34937281,100.7424003,อนุมัติ
5302B031,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนศรีบางไทร,04,ใหม่,บางไทร,บางไทร,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),3/12/2553 0:00:00,21/12/2553 0:00:00,308.00,306.00,10.00,7.15,34.34,,1.50,,,WGS84,47,P,661383,1571707,14.21215481,100.4956467,อนุมัติ
5302B032,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนลอซีดี,2,สุเหร่ารอซีดี,คลองพระยาบันลือ,ลาดบัวหลวง,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),22/12/2553 0:00:00,29/12/2553 0:00:00,256.00,256.00,24.00,3.03,20.16,,1.00,36.00,,WGS84,47,P,646206,1565279,14.15488815,100.3546753,อนุมัติ
5302C003,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนวัดเชิงท่า,3,เกาะเกิด,เกาะเกิด,บางปะอิน,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),4/1/2553 0:00:00,11/1/2553 0:00:00,252.00,252.00,7.00,35.00,38.00,150,1.00,0.00,,WGS84,47,P,668446,1570479,14.20063739,100.5610113,อนุมัติ
5302G006,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนวัดหนองเป้า,1,หนองเป้า,หนองน้ำใส,ภาชี,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),14/1/2553 0:00:00,18/1/2553 0:00:00,104.00,104.00,4.00,3.82,23.79,150,1.00,36.00,,WGS84,47,P,687805,1597944,14.4476169,100.7422726,อนุมัติ
5302G007,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนบ้านโคกม่วง,1,โคกม่วง,โคกม่วง,ภาชี,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),19/1/2553 0:00:00,23/1/2553 0:00:00,104.00,104.00,10.28,6.83,20.56,150,1.00,30.00,,WGS84,47,P,689058,1596487,14.43436318,100.7537897,อนุมัติ
5302G008,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนชุมชนวัดระโสม,06,นายี่,ภาชี,ภาชี,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),24/1/2553 0:00:00,28/1/2553 0:00:00,108.00,108.00,1.35,47.83,26.11,150,1.00,81.00,,WGS84,47,P,691572,1592809,,,อนุมัติ
5302G009,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,วัดตาลเอน,1,โรง,ตาลเอน,บางปะหัน,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),14/1/2553 0:00:00,18/1/2553 0:00:00,124.00,124.00,18.00,8.20,14.09,150,2.00,30.00,,WGS84,47,P,668248,1605594,14.51803115,100.5613761,อนุมัติ
5305W173,2546,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านรางเสาธง,06,รางเสาธง,หนองบัว,บ้านแพ้ว,สมุทรสาคร,อุปโภค-บริโภค,ใช้การได้,,,,,,,,,,,,,,WGS84,,,618265,1501904,13.58327181,100.0931392,อนุมัติ
5308A0004,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านพังพวย,,,สระสี่มุม,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,25/1/2553 0:00:00,30/1/2553 0:00:00,106.00,105.00,15.00,,48.50,,1.00,,,WGS84,47,P,607150,1554427,14.0697508,99.99019201,อนุมัติ
5308A001,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,หนองน้ำใส,6,หนองน้ำใส,วังน้ำเขียว,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,31/12/2552 0:00:00,7/1/2553 0:00:00,100.00,96.00,6.00,,34.00,,,,,WGS84,47,P,608388,1545594,13.96577292,100.0099275,อนุมัติ
5308A002,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,สำนักสงฆ์ดอนมะกอก,5,ดอนมะกอก,ดอนข่อย,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,8/1/2553 0:00:00,15/1/2553 0:00:00,120.00,94.00,20.00,,30.00,,,,,WGS84,47,P,609729,1552400,14.0247848,100.0328159,อนุมัติ
5308A003,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านนายวงษ์ (สระพัง),,,ดอนข่อย,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,17/1/2553 0:00:00,23/1/2553 0:00:00,122.00,120.00,20.00,,32.00,,1.00,,,WGS84,47,P,611330,1550512,14.01304666,100.0399393,อนุมัติ
5308A004,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านพังพวย,,,สระสี่มุม,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,25/1/2553 0:00:00,30/1/2553 0:00:00,106.00,105.00,15.00,,48.50,,1.00,,,WGS84,47,P,607150,1554427,14.06965178,99.99008971,อนุมัติ
5308A005,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงเรียนวัดวังน้ำเขียว,,,วังน้ำเขียว,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,8/2/2553 0:00:00,15/2/2553 0:00:00,120.00,104.00,20.00,,28.00,,1.00,,,WGS84,47,P,610000,1546887,13.95097289,100.012168,อนุมัติ
5308A006,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงเรียนบ้านดอนทอง,,,ดอนข่อย,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,16/2/2553 0:00:00,23/2/2553 0:00:00,110.00,108.00,20.00,,31.00,,1.00,,,WGS84,47,P,612303,1549416,14.02469858,100.0060549,อนุมัติ
5308A007,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงเรียนบ้านหนองงูเหลือม,,,หนองงูเหลือม,เมืองนครปฐม,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,23/2/2553 0:00:00,2/3/2553 0:00:00,92.00,89.00,25.50,25.00,25.50,,1.00,,,WGS84,47,P,603330,1538663,,,อนุมัติ
5308A008,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงเรียนวัดสามง่าม,,,สามง่าม,ดอนตูม,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,10/3/2553 0:00:00,13/3/2553 0:00:00,110.00,108.00,20.00,,38.00,,1.00,,,WGS84,47,P,617220,1543909,,,อนุมัติ
5308A009,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านนายชุบ (บ้านโพธิ์ศรี),,,ดอนข่อย,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,27/3/2553 0:00:00,2/4/2553 0:00:00,107.00,104.00,12.00,,33.50,,1.00,,,WGS84,47,P,608638,1550689,14.0226637,100.0170465,อนุมัติ
5308A013,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,ร.ร.วัดปลักไม้ลาย,6,ปลักไม้ลาย,ทุ่งขวาง,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,21/11/2553 0:00:00,27/11/2553 0:00:00,114.00,106.00,15.00,,27.00,150,,,,WGS84,47,P,603776,1541131,13.97516922,99.96015198,อนุมัติ
5308A014,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,ร.ร.บางเลนวิทยา,6,บางเลน,บางเลน,บางเลน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,15/12/2553 0:00:00,23/12/2553 0:00:00,194.00,190.00,15.00,,25.00,150,,,,WGS84,47,P,626697,1549085,,,อนุมัติ
5308A016,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,ร.ร. ภ.ป.ร.ราชวทิยาลัย,2,คลองบางหลวง,ท่าตลาด,สามพราน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,10/11/2553 0:00:00,19/11/2553 0:00:00,188.00,184.00,25.00,,45.50,150,,,,WGS84,47,P,633085,1519638,,,อนุมัติ
5308B017,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงเรียนวัดสุนทรสถิต,02,ท้ายบ้านปากคลอง(ปลายคลอง),อำแพง,บ้านแพ้ว,สมุทรสาคร,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,13/1/2554 0:00:00,19/1/2554 0:00:00,193.00,191.50,10.00,,59.00,150,,,,WGS84,47,P,631415,1504580,13.60690115,100.2147914,อนุมัติ
5308D001,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,หนองนกไข่,7,คลองแนวนิยม,หนองนกไข่,กระทุ่มแบน,สมุทรสาคร,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,29/12/2552 0:00:00,8/1/2553 0:00:00,193.00,191.00,18.00,,48.50,,,,,WGS84,47,P,628898,1512361,,,อนุมัติ
5308D002,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,หนองนกไข่,1,ปากคลองโรงปูน,หนองนกไข่,กระทุ่มแบน,สมุทรสาคร,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,9/1/2553 0:00:00,17/1/2553 0:00:00,187.00,185.00,25.00,,50.00,,,,,WGS84,47,P,630344,1510950,13.66453567,100.2051847,อนุมัติ
5401BK01,2555,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 1,โรงพยาบาลจุฬาลงกรณ์,,,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),9/11/2554 0:00:00,26/11/2554 0:00:00,360.00,348.00,50.00,42.20,23.10,150,5.00,60.00,,WGS84,47,P,666052,1518481,13.73078418,100.5357144,อนุมัติ
5402A016,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,บ้านตาลล้อม (โพสาวหาญ),3,โพสาวหาญ,โพสาวหาญ,อุทัย,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,22/3/2554 0:00:00,30/3/2554 0:00:00,240.00,240.00,10.00,10.00,42.00,150,0.00,0.00,,WGS84,47,P,689853,1586610,14.34504574,100.7604624,อนุมัติ
5402B015,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,บ้านไผ่โขด,3,ไผ่โขด,สนามชัย,บางไทร,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,17/3/2554 0:00:00,25/3/2554 0:00:00,244.00,244.00,24.00,4.15,19.90,150,0.00,0.00,,WGS84,47,P,663690,1571003,14.20565697,100.5169795,อนุมัติ
5402B019,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,บ้านไร่ (บ้านหนองกลาง),11,หนองกลาง,ไผ่ล้อม,ภาชี,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,26/3/2554 0:00:00,30/3/2554 0:00:00,142.00,140.00,12.00,20.41,19.23,150,0.00,0.00,,WGS84,47,P,634728,1602898,,,อนุมัติ
5402B051,2555,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนว้ดสโมสร,9,คลองหม่อมแช่ม,ไทรใหญ่,ไทรน้อย,นนทบุรี,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),19/12/2554 0:00:00,25/12/2554 0:00:00,238.00,238.00,40.00,3.00,17.00,150,2.00,39.00,,WGS84,47,P,639701,1552613,14.04072501,100.2937687,อนุมัติ
5402C001,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,ระบบประปาบ้านหนองผีหลอก,01,หนองผีหลอก,ภาชี,ภาชี,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,11/2/2554 0:00:00,16/2/2554 0:00:00,120.00,111.00,10.00,0.00,13.00,150,0.00,0.00,,WGS84,47,P,687019,1596400,14.43371681,100.7348751,อนุมัติ
5402C002,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,บ้านโคกกรวด(สามขวัญ),12,สามขวัญ,โคกม่วง,ภาชี,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,17/2/2554 0:00:00,21/2/2554 0:00:00,128.00,128.00,10.00,0.00,16.00,150,0.00,0.00,,WGS84,47,P,687552,1593512,14.40758012,100.7396152,อนุมัติ
5402C003,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,บ้านคลอง (ที่สาธารณะ),2,คลอง,โคกม่วง,ภาชี,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,22/2/2554 0:00:00,27/2/2554 0:00:00,120.00,118.00,5.00,0.00,28.00,150,0.00,0.00,,WGS84,47,P,689644,1595261,14.42324286,100.7591368,อนุมัติ
5402C004,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,องค์การบริหารส่วนตำบลคู้สลอด (บ้านคู้สลอด),8,ลำกะลา,คู้สลอด,ลาดบัวหลวง,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,4/3/2554 0:00:00,17/3/2554 0:00:00,250.00,246.00,20.00,0.00,22.00,150,0.00,0.00,,WGS84,47,P,647880,1569140,14.18970075,100.3703921,อนุมัติ
5402C005,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,บ้านปากกราน,5,บางกะชา,ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,18/3/2554 0:00:00,21/3/2554 0:00:00,210.00,210.00,20.00,0.00,20.00,150,0.00,0.00,,WGS84,47,P,665200,1581381,14.29937004,100.5316027,อนุมัติ
5402C007,2555,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนจุฬาภรณ์ราชวิทยาลัยปทุมธานี,6,คลองแขยด,บ่อเงิน,ลาดหลุมแก้ว,ปทุมธานี,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),11/1/2555 0:00:00,20/1/2555 0:00:00,364.00,364.00,20.00,5.00,30.00,150,1.50,45.00,,WGS84,47,P,651074,1560029,14.10717372,100.3994804,อนุมัติ
5402I013,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนทีปังกรวิทยาพัฒน์,,,คลองห้า,คลองหลวง,ปทุมธานี,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),6/3/2554 0:00:00,9/3/2554 0:00:00,134.00,134.00,25.71,1.47,31.69,150,2.00,42.00,,WGS84,47,P,683974,1559002,14.09592838,100.7040948,อนุมัติ
5402I027,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,ฟาร์มตัวอย่างบ้านหนองงูเห่า,2,บางระกำ,บางระกำ,นครหลวง,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,2/3/2554 0:00:00,5/3/2554 0:00:00,120.00,120.00,15.00,30.00,24.00,150,0.00,0.00,,WGS84,47,P,671833,1601440,14.48026313,100.594368,อนุมัติ
5408A001,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านหนองหัวช้าง,4,หนองหัวช้าง,วังน้ำเขียว,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,8/3/2554 0:00:00,13/3/2554 0:00:00,103.00,98.00,15.00,,32.00,150,,,,WGS84,47,P,611287,1547601,13.98008144,100.0193033,อนุมัติ
5408A002,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านบ่อน้ำจืด,9,บ่อน้ำจืด,ดอนข่อย,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,22/3/2554 0:00:00,26/3/2554 0:00:00,114.00,108.00,20.00,,34.50,150,,,,WGS84,47,P,609826,1550469,14.00846188,100.0465111,อนุมัติ
5408A003,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านสระ,,,สระสี่มุม,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,15/3/2554 0:00:00,20/3/2554 0:00:00,109.00,104.00,4.00,,43.00,150,,,,WGS84,47,P,610269,1556227,14.0766616,100.0175628,อนุมัติ
5408A004,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงเรียนสิรินธรราชวิทยาลัย,5,หนองขาหยั่ง,สนามจันทร์,เมืองนครปฐม,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,28/2/2554 0:00:00,5/3/2554 0:00:00,188.00,182.00,25.00,,46.50,150,,,,WGS84,47,P,613291,1524583,,,อนุมัติ
5408A005,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านทุ่งพิชัย,3,ทุ่งพิชัย,ห้วยพระ,ดอนตูม,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,1/3/2554 0:00:00,6/3/2554 0:00:00,123.00,121.00,12.00,,37.00,150,,,,WGS84,47,P,614643,1539197,,,อนุมัติ
5408A006,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,วัดหนองกระบี้,5,หนองกะพี้,บ้านหลวง,ดอนตูม,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,2/3/2554 0:00:00,9/3/2554 0:00:00,174.00,172.00,10.00,,32.50,150,,,,WGS84,47,P,623488,1538633,,,อนุมัติ
5408A007,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านรางกระโดน,5,รางกระโดน,สามควายเผือก,เมืองนครปฐม,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,11/3/2554 0:00:00,18/3/2554 0:00:00,182.00,176.00,20.00,,45.00,150,,,,WGS84,47,P,619258,1530306,,,อนุมัติ
5408A008,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,หมู่บ้านเด็กสภากาชาดไทย,,,พระปฐมเจดีย์,เมืองนครปฐม,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,20/3/2554 0:00:00,27/3/2554 0:00:00,196.00,192.00,20.00,,48.00,150,,,,WGS84,47,P,615696,1528716,,,อนุมัติ
5408A009,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,วัดเปร็งราษฎร์บำรุง,4,วัดเปร็ง,เปร็ง,บางบ่อ,สมุทรปราการ,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,23/5/2554 0:00:00,29/5/2554 0:00:00,100.00,98.00,15.00,,22.00,150,,,,WGS84,47,P,704912,1513333,13.68176408,100.8946081,อนุมัติ
5408A010,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงประปา,05,กระแชงเตย(คลองบางหลวง),คลองสวน,บางบ่อ,สมุทรปราการ,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,15/5/2554 0:00:00,21/5/2554 0:00:00,109.00,106.00,15.00,,30.50,150,,,,WGS84,47,P,707628,1510454,13.65555285,100.9194994,อนุมัติ
5408A011,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงพยาบาลส่งเสริมสุขภาพตำบล,06,กระแชงเตย,คลองสวน,บางบ่อ,สมุทรปราการ,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,7/5/2554 0:00:00,13/5/2554 0:00:00,109.00,106.00,12.00,,25.00,150,,,,WGS84,47,P,708250,1510671,13.65746936,100.9252634,อนุมัติ
